sg_name	agent_config	run_id	perf_recovery	perf_maintenance_mrlep	forward_transfer_ratio	backward_transfer_ratio	ste_rel_perf	sample_efficiency	complexity	difficulty	scenario_type	metrics_column	min	max	num_lx	num_ex
eval	agent_config	2-intermediate_alternating-1617337473-4213	-0.0	11.099532828165408		2.189738695344358	1.1189230711713494	0.9163529040204761	2-intermediate	2-medium	alternating	performance	0.0	100.0	800	360
eval	agent_config	2-intermediate_alternating-1617337473-7135177	-0.0	1.2432752640306877		1.0410864582931008	1.0938208322014735	0.9128208510196223	2-intermediate	2-medium	alternating	performance	0.0	100.0	800	360
eval	agent_config	2-intermediate_alternating-1617337474-0107214	-3.75	3.0383057535920566		1.1482495055663056	1.1054482134400159	0.9126650855776232	2-intermediate	2-medium	alternating	performance	0.0	100.0	800	360
eval	agent_config	2-intermediate_alternating-1617337474-2979531	-0.0	6.475451671135094		1.2877696644276693	1.150024126268986	0.9149574867319435	2-intermediate	2-medium	alternating	performance	0.0	100.0	800	360
eval	agent_config	2-intermediate_alternating-1617337474-6031382	-4.75	5.11874171872522	1.2493332366276244	1.2811210775476574	1.0660451616115596	0.9123209165488637	2-intermediate	2-medium	alternating	performance	0.0	100.0	800	360
eval	agent_config	2-intermediate_alternating-1617337474-9222815	-0.0	3.3407413303838203	0.8840735706164083	1.2116846314896654	1.0272587237575022	0.9086896758389651	2-intermediate	2-medium	alternating	performance	0.0	100.0	800	360
eval	agent_config	2-intermediate_alternating-1617337475-2603762	-0.0	2.625414409388714		1.1007743094512685	1.0979479557162253	0.913748760097128	2-intermediate	2-medium	alternating	performance	0.0	100.0	800	360
eval	agent_config	2-intermediate_alternating-1617337475-574535	8.25	-2.1655772895436503	2.339048003071982	0.893153296401286	0.9702301171934019	0.9048659032296836	2-intermediate	2-medium	alternating	performance	0.372474388485826	99.96849959363811	800	360
eval	agent_config	2-intermediate_alternating-1617337475-879718	-0.0	7.008923914852189		1.320519477470818	1.0979509253309223	0.9151962540152168	2-intermediate	2-medium	alternating	performance	0.0	100.0	800	360
eval	agent_config	2-intermediate_alternating-1617337476-188891	-11.5	3.846962908946699		1.1696497105800703	1.0933515088234644	0.9132504392245486	2-intermediate	2-medium	alternating	performance	0.0	99.9965528073933	800	360
eval	agent_config	2-intermediate_alternating-1617337476-4831026	-0.0	3.1065182477670077		1.1180276910560316	1.0597961382181729	0.9130570040377001	2-intermediate	2-medium	alternating	performance	0.0	99.99623716189345	800	360
eval	agent_config	2-intermediate_alternating-1617337476-7783122	-0.0	5.33381131335191		1.2678060162580993	1.1707530395346772	0.9152690427825203	2-intermediate	2-medium	alternating	performance	0.0	100.0	800	360
eval	agent_config	2-intermediate_permuted-1617337203-309063		16.644627519359958	2.7417223137958175	1.1421384438527407	0.18822749445328124	2.468566730015195	2-intermediate	2-medium	permuted	performance	0.0	90.54852604961667	400	400
eval	agent_config	2-intermediate_permuted-1617337203-4975586		7.163356201497539	3.339928627615279	1.0142206982767328	0.17875797276657043	2.456914174949419	2-intermediate	2-medium	permuted	performance	0.0	90.56514730599753	400	400
eval	agent_config	2-intermediate_permuted-1617337203-6830618		12.067456133073113	32.013895737744846	1.1098532253889724	0.13152989248758237	2.127369711496636	2-intermediate	2-medium	permuted	performance	0.0	93.98452770936993	400	400
eval	agent_config	2-intermediate_permuted-1617337203-874549		6.490242170225756	55.47934048365784	1.0474145455524495	0.15243103938287755	2.451652301516903	2-intermediate	2-medium	permuted	performance	0.0	92.3813921769844	400	400
eval	agent_config	2-intermediate_permuted-1617337204-059055		6.080012345803934	1.7150439563133604	1.0484120060575683	0.18177515869012795	2.677469227113712	2-intermediate	2-medium	permuted	performance	0.0	89.54604302490853	400	400
eval	agent_config	2-intermediate_permuted-1617337204-27747		4.981215116542361	10.39721478136586	1.0896580881744982	0.1372028947578973	2.183262784641465	2-intermediate	2-medium	permuted	performance	0.0	92.81216768081765	400	400
eval	agent_config	2-intermediate_permuted-1617337204-4679606		13.573151174515568	1.6675811288821611	1.0939317395540982	0.17608344302925322	2.457706799684345	2-intermediate	2-medium	permuted	performance	0.0	95.15693965488576	400	400
eval	agent_config	2-intermediate_permuted-1617337204-6644347		7.928174069451771	25.86309153929918	1.0253766604104622	0.1756398338870277	2.6966774265406332	2-intermediate	2-medium	permuted	performance	0.0	96.24993321067538	400	400
eval	agent_config	2-intermediate_permuted-1617337204-896812		22.233031395769558	3.9054775063876135	1.2303005733175012	0.12113060954189397	1.9981289351624651	2-intermediate	2-medium	permuted	performance	0.0	83.72848567293495	400	400
eval	agent_config	2-intermediate_permuted-1617337205-1002674		6.390541994753289	4.863427659781437	1.1410225821213988	0.16065753516003353	2.323620254959283	2-intermediate	2-medium	permuted	performance	0.0	89.21460783420112	400	400
eval	agent_config	2-intermediate_permuted-1617337205-2967415		9.615565971305173	1.2892374661006691	1.0841389194142905	0.21390743899445286	2.8813035219390546	2-intermediate	2-medium	permuted	performance	0.0	93.42264004452309	400	400
eval	agent_config	2-intermediate_permuted-1617337205-4842396		6.155836538045182	0.734959108648659	1.057887510203366	0.1916644926306402	2.5472371759153836	2-intermediate	2-medium	permuted	performance	0.0	87.09448381832493	400	400
eval	agent_config	2-intermediate_permuted-1617337205-6817112		12.417240616995395	4.30645329282129	1.1235211766329292	0.1610727871192728	2.364990817457071	2-intermediate	2-medium	permuted	performance	0.0	94.8379591371913	400	400
eval	agent_config	2-intermediate_permuted-1617337205-8911502		13.97130422759912	1.4762262727438262	1.127239386617646	0.14845393385423605	2.2092506504502083	2-intermediate	2-medium	permuted	performance	0.0	89.8105970532021	400	400
eval	agent_config	2-intermediate_permuted-1617337206-0806427		5.16848490630711	1.1786555877876268	1.153754355530107	0.13898867104922502	2.2611864159225323	2-intermediate	2-medium	permuted	performance	0.0	96.68367753708573	400	400
eval	agent_config	2-intermediate_permuted-1617337206-3130207		9.342299604835402	1.9312608313869963	1.1046010503323374	0.13549151706456308	2.104548336824945	2-intermediate	2-medium	permuted	performance	0.0	85.09045719739136	400	400
eval	agent_config	2-intermediate_permuted-1617337206-531436		8.771945960481577	0.82022062893483	1.0365089097357032	0.13133457490859307	2.09678539240641	2-intermediate	2-medium	permuted	performance	0.0	90.0562612487758	400	400
eval	agent_config	2-intermediate_permuted-1617337206-721926		16.5053213998242	6.886930464075005	1.1090210193352334	0.1492611743809074	2.183217956355953	2-intermediate	2-medium	permuted	performance	0.0	92.86773444019695	400	400
eval	agent_config	2-intermediate_permuted-1617337206-9323626		13.199717977258112	1.9622578424666532	1.1333851877947616	0.17143150114642614	2.4848370304095813	2-intermediate	2-medium	permuted	performance	0.0	92.14452595945389	400	400
eval	agent_config	2-intermediate_permuted-1617337207-120858		15.059113581746336	3.5325991754617996	1.1283438901913805	0.1808529074052352	2.402185727146198	2-intermediate	2-medium	permuted	performance	0.0	96.95365024285779	400	400
eval	agent_config	2-intermediate_permuted-1617337207-3452568		5.143768641434733	1.3152207317612679	1.0437938714971289	0.1338577641622648	2.267533082647267	2-intermediate	2-medium	permuted	performance	0.0	85.76087541920448	400	400
eval	agent_config	2-intermediate_permuted-1617337207-5317578		7.318756586105579	2.489185125318732	1.0535965746020846	0.16931169690764586	2.3561555552432707	2-intermediate	2-medium	permuted	performance	0.0	89.73808381652405	400	400
eval	agent_config	2-intermediate_permuted-1617337207-7262383		16.364106946539206	13.132526800118614	1.1220928054690307	0.18030859542723934	2.5287841060507548	2-intermediate	2-medium	permuted	performance	0.0	90.31783903702683	400	400
eval	agent_config	2-intermediate_permuted-1617337207-9207163		26.170509898438212	5.861132433055797	1.244237502355357	0.16576440999905137	2.374903267531134	2-intermediate	2-medium	permuted	performance	0.0	94.92176677925768	400	400
